,location,total_sqft,bath,price,bhk
116,7th Phase JP Nagar,1050.0,2.0,71.0,2
117,7th Phase JP Nagar,1100.0,2.0,46.0,2
118,7th Phase JP Nagar,918.0,2.0,50.49,2
119,7th Phase JP Nagar,1450.0,2.0,100.0,3
120,7th Phase JP Nagar,1190.0,2.0,49.98,2
121,7th Phase JP Nagar,1420.0,2.0,96.0,3
122,7th Phase JP Nagar,1680.0,3.0,120.0,3
123,7th Phase JP Nagar,980.0,2.0,69.0,2
124,7th Phase JP Nagar,1180.0,2.0,72.0,2
128,7th Phase JP Nagar,1400.0,3.0,115.0,3
129,7th Phase JP Nagar,1270.0,2.0,83.0,2
131,7th Phase JP Nagar,2503.0,4.0,188.0,4
132,7th Phase JP Nagar,2200.0,3.0,190.0,3
135,7th Phase JP Nagar,1575.0,2.0,110.0,3
136,7th Phase JP Nagar,1850.0,3.0,140.0,3
137,7th Phase JP Nagar,1575.0,2.0,120.0,3
138,7th Phase JP Nagar,1850.0,3.0,150.0,3
139,7th Phase JP Nagar,1680.0,3.0,120.0,3
140,7th Phase JP Nagar,1175.0,2.0,82.5,2
143,7th Phase JP Nagar,1215.0,2.0,90.0,2
144,7th Phase JP Nagar,1050.0,2.0,75.0,2
145,7th Phase JP Nagar,1300.0,3.0,89.13,3
146,7th Phase JP Nagar,1130.0,2.0,73.0,2
147,7th Phase JP Nagar,1450.0,3.0,100.0,3
149,7th Phase JP Nagar,1050.0,2.0,50.0,2
150,7th Phase JP Nagar,1275.0,2.0,87.0,2
152,7th Phase JP Nagar,1650.0,3.0,110.0,3
153,7th Phase JP Nagar,850.0,2.0,42.0,2
154,7th Phase JP Nagar,1680.0,3.0,117.0,3
155,7th Phase JP Nagar,1850.0,3.0,150.0,3
156,7th Phase JP Nagar,1236.0,2.0,61.33,2
157,7th Phase JP Nagar,1000.0,2.0,53.0,2
158,7th Phase JP Nagar,1680.0,3.0,125.0,3
159,7th Phase JP Nagar,1675.0,2.0,135.0,3
160,7th Phase JP Nagar,1187.0,2.0,59.0,2
161,7th Phase JP Nagar,1850.0,3.0,155.0,3
162,7th Phase JP Nagar,1000.0,2.0,61.0,2
163,7th Phase JP Nagar,1460.0,2.0,100.0,3
164,7th Phase JP Nagar,1650.0,3.0,110.0,3
165,7th Phase JP Nagar,1200.0,2.0,62.5,2
166,7th Phase JP Nagar,1000.0,2.0,70.65,2
167,7th Phase JP Nagar,1080.0,2.0,75.0,2
169,7th Phase JP Nagar,1680.0,3.0,125.0,3
170,7th Phase JP Nagar,1460.0,2.0,97.0,3
171,7th Phase JP Nagar,1120.0,2.0,65.0,2
172,7th Phase JP Nagar,1100.0,3.0,60.0,2
173,7th Phase JP Nagar,1790.0,3.0,120.0,3
174,7th Phase JP Nagar,1680.0,3.0,117.0,3
175,7th Phase JP Nagar,1050.0,2.0,77.0,2
176,7th Phase JP Nagar,1050.0,2.0,75.0,2
177,7th Phase JP Nagar,1040.0,2.0,75.0,2
178,7th Phase JP Nagar,1400.0,2.0,95.0,3
179,7th Phase JP Nagar,1800.0,3.0,130.0,3
180,7th Phase JP Nagar,1050.0,2.0,68.0,2
181,7th Phase JP Nagar,1000.0,2.0,60.0,2
182,7th Phase JP Nagar,1680.0,3.0,125.0,3
183,7th Phase JP Nagar,1050.0,2.0,77.47,2
184,7th Phase JP Nagar,1270.0,2.0,80.0,2
186,7th Phase JP Nagar,1680.0,3.0,122.0,3
187,7th Phase JP Nagar,1130.0,2.0,85.0,2
188,7th Phase JP Nagar,1680.0,3.0,130.0,3
189,7th Phase JP Nagar,980.0,2.0,77.44,2
190,7th Phase JP Nagar,1680.0,3.0,112.0,3
192,7th Phase JP Nagar,2095.0,3.0,150.0,3
193,7th Phase JP Nagar,1976.0,3.0,145.0,3
194,7th Phase JP Nagar,1600.0,2.0,110.0,3
195,7th Phase JP Nagar,1765.0,3.0,118.0,3
196,7th Phase JP Nagar,1275.0,2.0,88.0,3
197,7th Phase JP Nagar,1450.0,2.0,102.0,3
198,7th Phase JP Nagar,1575.0,2.0,110.0,3
200,7th Phase JP Nagar,750.0,1.0,47.0,1
201,7th Phase JP Nagar,990.0,2.0,50.0,2
202,7th Phase JP Nagar,1000.0,1.0,60.0,1
204,7th Phase JP Nagar,1430.0,2.0,102.0,3
205,7th Phase JP Nagar,1128.0,2.0,60.0,2
206,7th Phase JP Nagar,1140.0,2.0,57.0,2
207,7th Phase JP Nagar,1420.0,3.0,90.0,3
208,7th Phase JP Nagar,1530.0,2.0,108.0,2
209,8th Phase JP Nagar,1073.5,2.0,54.005,2
210,8th Phase JP Nagar,451.0,1.0,29.9,1
212,8th Phase JP Nagar,1062.0,2.0,42.47,2
214,8th Phase JP Nagar,1455.0,3.0,73.31,3
215,8th Phase JP Nagar,871.0,2.0,55.0,2
216,8th Phase JP Nagar,1098.0,2.0,43.91,2
217,8th Phase JP Nagar,1800.0,3.0,80.0,3
218,8th Phase JP Nagar,2700.0,4.0,130.0,4
219,8th Phase JP Nagar,1080.0,2.0,38.0,2
220,8th Phase JP Nagar,1059.0,2.0,34.5,2
221,8th Phase JP Nagar,1080.0,2.0,35.0,2
223,8th Phase JP Nagar,1062.0,2.0,42.47,2
224,8th Phase JP Nagar,500.0,1.0,31.0,1
225,8th Phase JP Nagar,1100.0,2.0,35.0,2
226,8th Phase JP Nagar,2100.0,4.0,92.0,4
227,8th Phase JP Nagar,1035.0,2.0,39.33,2
228,8th Phase JP Nagar,909.0,2.0,40.9,2
229,8th Phase JP Nagar,1431.5,3.0,72.02,3
230,8th Phase JP Nagar,1900.0,4.0,90.0,3
231,8th Phase JP Nagar,500.0,1.0,30.0,1
232,8th Phase JP Nagar,1125.0,2.0,36.94,2
233,8th Phase JP Nagar,1100.0,2.0,35.0,2
234,8th Phase JP Nagar,1089.0,2.0,43.55,2
236,8th Phase JP Nagar,1504.0,2.0,83.0,3
237,8th Phase JP Nagar,2600.0,4.0,115.0,4
239,8th Phase JP Nagar,1089.0,2.0,43.55,2
241,8th Phase JP Nagar,1513.0,2.0,62.0,2
242,8th Phase JP Nagar,1298.0,2.0,59.0,2
243,8th Phase JP Nagar,1006.0,2.0,44.0,2
244,8th Phase JP Nagar,500.0,1.0,33.0,1
245,8th Phase JP Nagar,1160.0,2.0,95.0,2
246,8th Phase JP Nagar,1245.0,2.0,59.0,2
247,8th Phase JP Nagar,1510.0,2.0,80.0,2
248,8th Phase JP Nagar,3300.0,3.0,165.0,3
249,8th Phase JP Nagar,1730.0,5.0,75.0,5
252,8th Phase JP Nagar,1046.0,2.0,48.0,2
254,8th Phase JP Nagar,1408.0,3.0,80.0,3
256,9th Phase JP Nagar,1005.0,2.0,50.0,2
258,9th Phase JP Nagar,1100.0,2.0,65.0,2
259,9th Phase JP Nagar,1080.0,2.0,37.0,2
260,9th Phase JP Nagar,1035.0,2.0,45.0,2
261,9th Phase JP Nagar,5000.0,4.0,290.0,4
262,9th Phase JP Nagar,1164.0,2.0,56.0,2
263,9th Phase JP Nagar,1005.0,2.0,42.0,2
264,9th Phase JP Nagar,1127.0,2.0,50.0,2
265,9th Phase JP Nagar,1005.0,2.0,43.0,2
266,9th Phase JP Nagar,835.0,2.0,37.0,2
267,9th Phase JP Nagar,1050.0,2.0,39.0,2
268,9th Phase JP Nagar,660.0,2.0,27.0,2
269,9th Phase JP Nagar,600.0,1.0,20.0,1
270,9th Phase JP Nagar,1466.0,2.0,71.0,2
271,9th Phase JP Nagar,1890.0,2.0,93.0,3
272,9th Phase JP Nagar,1079.0,2.0,60.0,2
273,9th Phase JP Nagar,1480.0,2.0,80.0,2
274,9th Phase JP Nagar,1200.0,2.0,80.0,2
275,9th Phase JP Nagar,905.0,2.0,32.0,2
276,9th Phase JP Nagar,1073.0,2.0,52.36,2
277,9th Phase JP Nagar,1719.3,2.0,88.0,3
278,9th Phase JP Nagar,1780.0,3.0,88.0,3
280,9th Phase JP Nagar,1522.0,3.0,90.0,3
283,9th Phase JP Nagar,890.0,2.0,45.0,2
285,9th Phase JP Nagar,5000.0,4.0,300.0,4
287,9th Phase JP Nagar,1050.0,2.0,35.0,2
288,9th Phase JP Nagar,1331.95,2.0,69.0,2
289,AECS Layout,1100.0,2.0,45.0,2
290,AECS Layout,1028.0,2.0,42.0,2
291,AECS Layout,1199.0,2.0,65.0,2
292,AECS Layout,1080.0,2.0,55.0,2
293,AECS Layout,1123.0,2.0,64.0,2
294,AECS Layout,1308.0,2.0,60.0,2
295,AECS Layout,1005.0,2.0,55.0,2
297,Abbigere,985.0,2.0,40.39,2
298,Abbigere,2200.0,6.0,68.0,6
299,Abbigere,765.0,2.0,30.0,1
300,Abbigere,880.0,2.0,35.0,2
301,Abbigere,795.0,2.0,32.54,2
302,Abbigere,1005.0,2.0,39.59,2
303,Abbigere,734.0,1.0,19.82,1
305,Abbigere,1020.0,2.0,41.82,2
306,Abbigere,985.0,2.0,40.39,2
307,Abbigere,2500.0,6.0,81.0,6
308,Abbigere,795.0,2.0,32.54,2
309,Abbigere,1130.0,2.0,46.33,2
310,Abbigere,795.0,1.0,32.6,2
311,Abbigere,3000.0,8.0,150.0,8
312,Abbigere,985.0,2.0,38.92,2
313,Abbigere,1000.0,2.0,41.0,2
314,Abbigere,995.0,2.0,40.8,2
315,Abbigere,1020.0,2.0,40.8,2
316,Akshaya Nagar,1388.0,2.0,57.0,2
317,Akshaya Nagar,1070.0,2.0,54.0,2
318,Akshaya Nagar,1280.0,2.0,58.0,2
319,Akshaya Nagar,1662.0,3.0,85.1,3
320,Akshaya Nagar,1897.0,3.0,120.0,3
321,Akshaya Nagar,1410.0,2.0,75.0,3
322,Akshaya Nagar,1360.0,2.0,85.0,3
324,Akshaya Nagar,1410.0,2.0,80.0,3
325,Akshaya Nagar,1662.0,3.0,85.0,3
326,Akshaya Nagar,1662.0,3.0,85.5,3
327,Akshaya Nagar,1280.0,2.0,60.0,2
328,Akshaya Nagar,1666.0,3.0,95.0,3
329,Akshaya Nagar,1575.0,3.0,90.0,3
330,Akshaya Nagar,1430.0,2.0,75.0,3
331,Akshaya Nagar,1419.0,2.0,73.0,3
332,Akshaya Nagar,1280.0,2.0,60.0,2
333,Akshaya Nagar,1200.0,2.0,50.0,2
334,Akshaya Nagar,1092.0,2.0,60.0,2
335,Akshaya Nagar,1690.0,3.0,85.0,3
337,Akshaya Nagar,1897.0,4.0,93.0,3
338,Akshaya Nagar,1884.0,3.0,98.0,3
339,Akshaya Nagar,1314.0,2.0,68.8,2
340,Akshaya Nagar,1690.0,3.0,85.0,3
341,Akshaya Nagar,1265.0,2.0,67.0,2
342,Akshaya Nagar,1126.0,2.0,55.0,2
344,Akshaya Nagar,1662.0,3.0,90.0,3
345,Akshaya Nagar,1420.0,2.0,75.0,3
346,Akshaya Nagar,1412.0,2.0,88.0,3
347,Akshaya Nagar,1434.0,3.0,84.0,3
348,Akshaya Nagar,1890.0,4.0,100.0,3
350,Akshaya Nagar,1419.0,2.0,87.0,3
351,Akshaya Nagar,1300.0,2.0,54.0,2
352,Akshaya Nagar,1690.0,3.0,85.0,3
353,Akshaya Nagar,1113.0,2.0,52.0,2
354,Akshaya Nagar,1820.0,4.0,95.0,3
355,Akshaya Nagar,1100.0,2.0,48.0,2
356,Akshaya Nagar,1896.0,3.0,102.0,3
357,Akshaya Nagar,1300.0,2.0,66.0,2
358,Akshaya Nagar,1225.0,2.0,68.0,2
359,Akshaya Nagar,1179.0,2.0,51.0,2
360,Akshaya Nagar,1421.0,2.0,73.0,3
361,Akshaya Nagar,1893.0,4.0,95.0,3
362,Akshaya Nagar,900.0,2.0,45.0,2
363,Ambalipura,1105.0,2.0,75.0,2
364,Ambalipura,1800.0,3.0,110.0,3
365,Ambalipura,1150.0,2.0,80.0,2
366,Ambalipura,1250.0,2.0,66.25,2
367,Ambalipura,1332.0,2.0,79.0,2
368,Ambalipura,1730.0,3.0,120.0,3
370,Ambalipura,1230.0,2.0,66.25,2
371,Ambalipura,1351.0,2.0,77.0,2
375,Ambalipura,1303.0,2.0,80.0,2
376,Ambalipura,1607.0,2.0,112.0,3
377,Ambalipura,770.0,1.0,43.82,1
378,Ambalipura,1700.0,2.0,76.0,2
379,Ambalipura,1060.0,2.0,58.5,2
380,Ambalipura,1650.0,3.0,100.0,3
381,Ambalipura,1607.0,2.0,112.0,3
382,Ambalipura,1198.0,2.0,80.0,2
383,Ambedkar Nagar,1935.0,4.0,130.0,3
384,Ambedkar Nagar,1424.0,2.0,90.0,2
385,Ambedkar Nagar,2225.0,4.0,169.0,3
386,Ambedkar Nagar,1862.0,3.0,120.0,3
387,Ambedkar Nagar,1850.0,4.0,139.0,3
388,Ambedkar Nagar,1936.0,4.0,126.0,3
389,Ambedkar Nagar,1862.0,3.0,119.0,3
390,Ambedkar Nagar,1424.0,2.0,90.0,2
391,Ambedkar Nagar,2150.0,4.0,125.0,3
392,Ambedkar Nagar,3530.0,4.0,290.0,4
393,Ambedkar Nagar,1856.0,3.0,120.0,3
394,Ambedkar Nagar,1852.0,3.0,130.0,3
395,Ambedkar Nagar,1850.0,4.0,120.0,3
396,Ambedkar Nagar,1367.0,2.0,86.0,2
397,Ambedkar Nagar,3565.0,4.0,255.0,4
398,Ambedkar Nagar,1409.0,2.0,95.0,2
399,Ambedkar Nagar,1950.0,4.0,120.0,3
400,Ambedkar Nagar,1921.0,4.0,129.0,3
401,Ambedkar Nagar,1920.0,4.0,121.0,3
402,Ambedkar Nagar,1935.0,4.0,125.0,3
403,Ambedkar Nagar,1852.0,4.0,122.0,3
404,Ambedkar Nagar,1950.0,4.0,120.0,3
405,Ambedkar Nagar,1852.0,3.0,125.0,3
406,Ambedkar Nagar,1850.0,4.0,121.0,3
407,Ambedkar Nagar,1425.0,2.0,94.0,2
408,Ambedkar Nagar,2395.0,4.0,150.0,3
409,Amruthahalli,900.0,2.0,40.0,2
410,Amruthahalli,1200.0,2.0,55.0,2
411,Amruthahalli,1900.0,3.0,135.0,3
412,Amruthahalli,924.0,2.0,45.0,2
413,Amruthahalli,900.0,2.0,60.0,2
414,Amruthahalli,1100.0,2.0,45.0,2
415,Amruthahalli,1200.0,2.0,55.0,2
419,Amruthahalli,1450.0,2.0,85.0,3
420,Amruthahalli,1200.0,2.0,55.0,2
421,Amruthahalli,1250.0,2.0,79.0,2
422,Amruthahalli,1190.0,2.0,50.0,2
423,Amruthahalli,1202.0,2.0,65.0,2
424,Amruthahalli,1340.0,2.0,75.0,2
425,Amruthahalli,2650.0,4.0,175.0,3
426,Amruthahalli,1450.0,2.0,90.0,3
427,Amruthahalli,1025.0,2.0,42.0,2
428,Amruthahalli,485.0,1.0,19.5,1
429,Anandapura,1167.0,2.0,43.76,2
430,Anandapura,1000.0,2.0,55.0,2
431,Anandapura,1141.0,2.0,42.79,2
433,Anandapura,1200.0,2.0,67.0,2
434,Anandapura,1200.0,2.0,58.0,2
435,Anandapura,1151.0,2.0,43.1,2
436,Anandapura,1141.0,2.0,42.75,2
437,Anandapura,900.0,2.0,48.0,2
438,Anandapura,1749.0,4.0,90.0,4
439,Anandapura,1151.0,2.0,42.9,2
441,Anandapura,1250.0,2.0,45.0,2
442,Anandapura,1151.0,2.0,43.16,2
443,Anandapura,1200.0,2.0,58.0,2
444,Anandapura,1200.0,2.0,66.0,3
445,Anandapura,1415.0,2.0,74.0,3
446,Anandapura,1200.0,2.0,50.0,2
447,Anandapura,1141.0,2.0,50.0,2
449,Ananth Nagar,500.0,1.0,14.0,1
450,Ananth Nagar,1100.0,2.0,31.5,2
451,Ananth Nagar,982.0,2.0,24.55,2
452,Ananth Nagar,500.0,2.0,14.0,1
453,Ananth Nagar,900.0,2.0,22.5,2
454,Ananth Nagar,908.0,2.0,26.0,2
455,Ananth Nagar,870.0,2.0,36.0,2
456,Ananth Nagar,937.0,2.0,35.0,2
457,Ananth Nagar,960.0,2.0,37.0,2
458,Ananth Nagar,500.0,1.0,14.0,1
459,Ananth Nagar,1000.0,2.0,29.7,2
460,Ananth Nagar,850.0,2.0,25.99,2
461,Ananth Nagar,902.0,2.0,25.26,2
462,Ananth Nagar,1470.0,3.0,54.0,3
463,Ananth Nagar,810.0,2.0,25.5,2
464,Ananth Nagar,890.0,2.0,27.0,2
465,Ananth Nagar,1200.0,2.0,36.0,2
467,Ananth Nagar,1319.0,3.0,42.0,3
468,Ananth Nagar,1000.0,2.0,25.0,2
469,Ananth Nagar,902.0,2.0,25.0,2
470,Ananth Nagar,930.0,2.0,25.99,2
471,Ananth Nagar,1074.0,2.0,26.85,2
472,Ananth Nagar,500.0,1.0,14.0,1
473,Ananth Nagar,1010.0,2.0,38.0,2
474,Ananth Nagar,992.0,2.0,24.8,2
475,Anekal,1200.0,1.0,36.0,2
476,Anekal,656.0,2.0,22.0,2
477,Anekal,620.0,2.0,22.0,2
478,Anekal,600.0,1.0,16.5,1
479,Anekal,925.0,2.0,40.0,2
480,Anekal,530.0,1.0,18.0,1
481,Anekal,1800.0,3.0,68.0,3
482,Anekal,1200.0,1.0,36.0,2
483,Anekal,1035.0,2.0,38.3,2
484,Anekal,888.0,2.0,34.0,2
485,Anekal,1200.0,2.0,36.1,2
486,Anekal,700.0,1.0,19.4,2
487,Anekal,1200.0,1.0,36.0,2
488,Anekal,1200.0,2.0,36.0,4
489,Anekal,766.0,2.0,28.0,2
490,Anekal,967.0,2.0,45.0,3
491,Anekal,620.0,1.0,23.5,2
492,Anekal,1150.0,3.0,45.0,3
493,Anekal,1200.0,1.0,36.0,2
494,Anekal,1200.0,1.0,36.0,2
495,Anekal,400.0,1.0,11.5,1
496,Anekal,456.0,1.0,15.0,1
497,Anekal,1200.0,1.0,36.0,2
498,Anekal,1200.0,1.0,36.0,2
499,Anekal,2400.0,4.0,95.0,3
500,Anekal,1200.0,2.0,36.1,2
501,Anekal,1200.0,2.0,36.1,2
502,Anekal,680.0,1.0,21.0,2
503,Anekal,420.0,1.0,12.5,1
504,Anekal,614.0,1.0,28.0,2
505,Anekal,1140.0,2.0,52.0,2
506,Anekal,625.0,1.0,25.0,2
507,Anjanapura,1850.0,4.0,86.0,4
508,Anjanapura,1070.0,2.0,39.0,2
509,Anjanapura,1500.0,3.0,121.0,3
510,Anjanapura,1070.0,2.0,37.0,2
511,Anjanapura,950.0,2.0,40.0,2
512,Anjanapura,1280.0,2.0,45.0,3
513,Anjanapura,710.0,2.0,25.0,2
515,Anjanapura,950.0,2.0,32.0,2
516,Anjanapura,1800.0,4.0,55.0,4
517,Anjanapura,1843.0,3.0,87.54,3
518,Anjanapura,1076.0,2.0,30.13,2
519,Anjanapura,950.0,2.0,30.0,2
520,Ardendale,1750.0,3.0,100.0,3
521,Ardendale,3198.0,4.0,200.0,4
522,Ardendale,2422.0,4.0,160.0,4
523,Ardendale,1750.0,3.0,100.0,3
524,Ardendale,3200.0,4.0,205.0,4
525,Ardendale,1728.0,3.0,95.0,3
526,Ardendale,2062.0,3.0,140.0,4
527,Ardendale,1732.46,3.0,92.0,3
528,Ardendale,2062.0,3.0,150.0,4
530,Ardendale,1224.0,2.0,70.0,2
531,Ardendale,1777.26,3.0,105.0,3
532,Ardendale,1650.0,3.0,82.0,3
533,Ardendale,2062.0,3.0,140.0,4
534,Ardendale,1650.0,3.0,82.0,3
535,Ardendale,1224.0,2.0,67.0,2
536,Ardendale,1723.0,3.0,95.0,3
537,Ardendale,1777.26,3.0,89.0,3
538,Ardendale,1777.26,3.0,92.0,3
539,Arekere,2060.0,3.0,140.0,3
540,Arekere,920.0,2.0,40.0,2
541,Arekere,1740.0,2.0,95.0,3
542,Arekere,1190.0,2.0,55.0,2
543,Arekere,600.0,1.0,28.0,1
544,Arekere,2072.0,3.0,108.0,3
545,Arekere,1100.0,2.0,55.0,2
546,Arekere,900.0,2.0,50.0,2
547,Arekere,2710.0,6.0,142.0,4
548,Arekere,1240.0,2.0,60.0,2
549,Arekere,900.0,2.0,44.5,2
550,Attibele,450.0,1.0,11.0,1
551,Attibele,1600.0,4.0,52.8,4
552,Attibele,656.0,2.0,25.0,2
553,Attibele,400.0,1.0,11.0,1
554,Attibele,400.0,1.0,12.0,1
555,Attibele,400.0,1.0,14.0,1
556,Attibele,500.0,1.0,17.0,1
557,Attibele,2168.0,4.0,95.0,4
558,Attibele,395.0,1.0,10.25,1
559,Attibele,420.0,1.0,17.0,1
561,Attibele,418.0,1.0,12.0,1
562,Attibele,1200.0,2.0,42.0,2
563,Attibele,400.0,1.0,10.0,1
564,Attibele,695.0,1.0,25.0,2
565,Attibele,850.0,1.0,25.0,2
566,Attibele,2400.0,3.0,120.0,3
567,Attibele,450.0,1.0,12.5,1
571,Attibele,782.0,1.0,19.55,1
573,Attibele,656.0,2.0,25.0,2
574,Attibele,400.0,1.0,11.5,1
575,Attibele,460.0,1.0,13.0,1
576,Attibele,418.0,2.0,11.5,1
577,Attibele,1000.0,2.0,42.0,2
578,Attibele,550.0,1.0,11.5,1
580,Attibele,410.0,1.0,10.0,1
581,Attibele,1700.0,3.0,65.0,3
582,Attibele,400.0,1.0,10.25,1
583,Attibele,656.0,2.0,25.0,2
584,Attibele,1500.0,3.0,90.0,3
585,Attibele,520.0,1.0,15.0,1
586,BEML Layout,1060.0,2.0,55.0,2
588,BEML Layout,999.0,2.0,45.0,2
589,BEML Layout,2400.0,4.0,225.0,5
591,BEML Layout,1194.0,2.0,65.0,2
592,BEML Layout,1200.0,2.0,67.0,2
593,BEML Layout,2400.0,2.0,228.0,2
596,BEML Layout,1194.0,2.0,65.0,2
597,BTM 1st Stage,3300.0,14.0,500.0,9
598,BTM 1st Stage,375.0,1.0,40.0,1
599,BTM 1st Stage,1717.0,3.0,200.0,3
